"Bodega"	"Codigo"	"Cod. Alterno"	"Descripcion"	"Exist."	"Cant."	"Diferencia"	"Nota"
"BFA01"	"4009111"	""	"LOMO FINO DE RES"	"0.000"	"1.735"	"1.735"	""
"BFA01"	"4008300"	""	"SALAMI"	"2.870"	"1.650"	"-1.220"	""
"BFA01"	"4001201"	""	"MORTADELA BOLOGÑA"	"34.431"	"29.440"	"-4.991"	""
"BFA01"	"4009115"	""	"CARNE FILETEADA DE RES"	"0.270"	"0.270"	"0.000"	""
"BFA01"	"4101044"	""	"MANTECA DE CHANCHO (TARRINA)"	"3.000"	"4.000"	"1.000"	""
"BFA01"	"4104019"	""	"QUESO MOZZARELLA 200G. KIOSKO"	"3.000"	"2.000"	"-1.000"	""
"BFA02"	"4204048"	""	"PULPA DE FRUTILLA"	"0.000"	"3.000"	"3.000"	""
"BFA02"	"4204049"	""	"PULPA DE MORA"	"1.000"	"1.000"	"0.000"	""
"BFA02"	"4204050"	""	"PULPA DE TOMATE"	"2.000"	"4.000"	"2.000"	""
"BFA01"	"4006203"	""	"HAMBURGUESA DE POLLO"	"2.000"	"1.000"	"-1.000"	""
"BFA01"	"4006202"	""	"HAMBURGUESA DE CERDO"	"1.000"	"2.000"	"1.000"	""
"BFA01"	"4105006"	""	"PIZZAS X DOS UNIDADES"	"0.000"	"1.000"	"1.000"	""
"BFA01"	"4104012"	""	"YOGURT MONI   1 LITRO"	"7.000"	"7.000"	"0.000"	""
"BFA01"	"4104139"	""	"YOGURT REGENERIS EL KIOSKO FRUTILLA 1000 G"	"2.000"	"3.000"	"1.000"	""
"BFA01"	"4104138"	""	"YOGURT REGENERIS DE 1000GR DURAZNO"	"0.000"	"2.000"	"2.000"	""
"BFA01"	"4104013"	""	"YOGURT MONI  2 LITROS"	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4104081"	""	"YOGURT MIX  DURAZNO 200"	"2.000"	"1.000"	"-1.000"	""
"BFA01"	"4104137"	""	"YOGURT REGENERIS EL KIOSKO  DURAZNO 180"	"3.000"	"3.000"	"0.000"	""
"BFA01"	"4104136"	""	"YOGURT REGENERIS EL KIOSKO FRUTI 180 GR"	"0.000"	"2.000"	"2.000"	""
"BFA01"	"4104082"	""	"YOGURT MIX FRUTILLA 200"	"0.000"	"1.000"	"1.000"	""
"BFA01"	"4104003"	""	"MANJAR GRANDE"	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4104005"	""	"MANJAR MEDIANO"	"1.000"	"1.000"	"0.000"	""
"BFA01"	"4104004"	""	"MANJAR PEQUEÑO"	"1.000"	"1.000"	"0.000"	""
"BFA01"	"4106025"	""	"HUEVOS"	"111.000"	"111.000"	"0.000"	""
