CUE,CUENCA,BORDILLO PESADO 17 GRIS,15.0866,,,0,0,0,0,0,0,0,0,,4.149,62.6,2.41
CUE,CUENCA,BORDILLO PESADO 18 GRIS,18.537,,,0,0,0,0,0,0,0,0,,2.994,55.5,1.67
FABGY,FABRICA GUAYAQUIL,ADOQUIN 05 LUZ,22.7768,130,,111150,0.26,5,5.26,17.5168,0,3.33019011406844,0,,855,19474.24,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 06 CM COLOR,10.981,134.5444,37423442.05,36696025.798428,0.2690888,3.4,3.6690888,7.3119112,2033803.42065683,1.99284116535964,48,278149.36,272742.87,2994991.57,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 06 CM GRIS,10.424,134.8787,6327081,4836750.182,0.2697574,3.1,3.3697574,7.0542426,330910.28782044,2.09339776210596,0,46909.4,35860,373807.76,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 07 CM PIEDRA,13.24,139.7592,53108.5,51291.6264,0.2795184,0,0,0,0,0,0,380,367,4859.08,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 08 CM COLOR,13.8947,173.4397,61743209.7,56289127.922657,0.3468794,4.4,4.7468794,9.1478206,3256553.42094676,1.92712302739353,52,355992.27,324545.81,4509488.09,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 08 CM GRIS,13.9437,177.2316,5186153,4536563.591196,0.3544632,4.39,4.7444632,9.1992368,269188.159233968,1.93894154348167,0,29262.01,25596.81,356914.51,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 10 CM COLOR,15.6219,214.7934,3332400,3375426.730584,0.4295868,0,0,0,0,0,0,15514.44,15714.76,245495.12,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 10 CM COLOR REFLECTIVO,131.84,,,0,0,0,0,0,0,0,0,,23,3032.32,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 10 CM ECOLOGICO COLOR,14.3766,,,0,0,0,0,0,0,0,0,,150,2156.5,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 10 CM ECOLOGICO GRIS,13.6396,179,,227509,0.358,0,0,0,0,0,0,,1271,17336,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 10 CM GRIS,13.8748,217.9898,3796769,3137745.1812,0.4359796,0,0,0,0,0,0,17417.18,14394,199715.1,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 10 CM RIBERA ECOLOGICO COLOR,17.2639,183.2399,1353234.4,896043.111,0.3664798,0,0,0,0,0,0,7385.04,4890,84420.7,1
FABGY,FABRICA GUAYAQUIL,ADOQUIN 8CM 350 GRIS,11.699,172.939,12690561,12997905.0071,0.345878,0,0,0,0,0,0,73381.7,75158.9,879285.72,1
